Molecule Name,Molecule Concentration,HTS_0
M-000003,30.0,2.79243803024292
M-000003,20.0,1.6171554327011108
M-000003,10.0,1.9551551342010496
M-000003,20.0,1.7168043851852417
M-000003,10.0,2.2821462154388428
M-000003,2.5,2.6995749473571777
M-000003,30.0,1.2058286666870115
M-000003,20.0,1.6036336421966553
M-000003,20.0,1.8743294477462769
M-000003,10.0,2.0900216102600098
M-000003,10.0,1.5630995035171509
M-000003,30.0,2.319177389144897
M-000003,10.0,1.835360646247864
M-000003,2.5,2.713363647460937
M-000003,20.0,1.436612844467163
M-000003,2.5,2.864638328552246
M-000003,10.0,1.982873558998108
M-000003,20.0,1.8615425825119016
M-000003,30.0,1.723692774772644
M-000004,30.0,3.783015966415405
M-000004,30.0,4.296481609344482
M-000004,30.0,4.412417888641357
M-000004,0.3125,4.368912220001221
M-000004,30.0,4.460872650146484
M-000004,30.0,4.236507415771484
M-000004,10.0,3.9118268489837646
M-000004,20.0,5.349573135375977
M-000004,20.0,4.165263652801514
M-000004,5.0,3.576948881149292
M-000004,5.0,4.091067790985107
M-000004,0.625,2.8142449855804443
M-000004,30.0,4.376181125640869
M-000004,5.0,3.456018686294556
M-000004,30.0,5.375294208526611
M-000004,20.0,4.700903415679932
M-000004,10.0,3.944161176681519
M-000004,2.5,2.543321132659912
M-000004,0.3125,3.292074918746948
M-000004,1.25,3.328068256378174
M-000004,0.625,3.876960515975952
M-000004,2.5,3.930350780487061
M-000004,10.0,3.6920883655548096
M-000004,5.0,3.821477174758911
M-000004,30.0,3.804539680480957
M-000004,5.0,3.407310962677002
M-000004,10.0,4.212382316589356
M-000004,5.0,3.5228254795074463
M-000004,10.0,3.757763147354126
M-000004,20.0,5.246582984924316
M-000004,2.5,4.010268688201904
M-000004,2.5,3.3121941089630127
M-000004,1.25,3.2375545501708984
M-000004,20.0,4.383873462677002
M-000004,30.0,4.422088146209717
M-000004,10.0,3.946038722991944
M-000004,20.0,4.899688243865967
M-000004,0.625,3.875922203063965
M-000004,20.0,4.013885498046875
M-000004,1.25,3.1194212436676025
M-000004,0.625,3.759996175765991
M-000004,2.5,4.286198616027832
M-000004,5.0,3.96721076965332
M-000004,5.0,4.19212007522583
M-000004,10.0,4.013728618621826
M-000004,0.625,3.546362400054932
M-000004,2.5,3.515829086303711
M-000004,0.625,3.261200428009033
M-000004,0.3125,3.071748733520508
M-000004,1.25,3.0866756439208984
M-000004,0.3125,3.944854736328125
M-000004,0.625,3.023439407348633
M-000004,10.0,3.869663238525391
M-000004,2.5,3.419623374938965
M-000004,0.625,3.2472083568573
M-000004,0.3125,3.302562713623047
M-000004,2.5,3.568867444992065
M-000004,0.3125,3.749917507171631
M-000004,0.625,3.3903815746307373
M-000004,1.25,3.300696611404419
M-000004,1.25,3.2405622005462646
M-000004,5.0,3.721048831939697
